DATE_OF_INTEREST,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
02/29/2020 12:00:00 AM,1,11,0
03/01/2020 12:00:00 AM,0,4,0
03/02/2020 12:00:00 AM,0,21,0
03/03/2020 12:00:00 AM,2,20,0
03/04/2020 12:00:00 AM,5,22,0
03/05/2020 12:00:00 AM,3,20,0
03/06/2020 12:00:00 AM,8,18,0
03/07/2020 12:00:00 AM,7,15,0
03/08/2020 12:00:00 AM,21,17,0
03/09/2020 12:00:00 AM,58,49,0
03/10/2020 12:00:00 AM,70,63,0
03/11/2020 12:00:00 AM,155,91,1
03/12/2020 12:00:00 AM,357,92,0
03/13/2020 12:00:00 AM,620,156,0
03/14/2020 12:00:00 AM,644,159,2
03/15/2020 12:00:00 AM,1037,188,5
03/16/2020 12:00:00 AM,2122,317,8
03/17/2020 12:00:00 AM,2455,359,8
03/18/2020 12:00:00 AM,2981,472,21
03/19/2020 12:00:00 AM,3713,558,24
03/20/2020 12:00:00 AM,4014,665,47
03/21/2020 12:00:00 AM,2640,700,44
03/22/2020 12:00:00 AM,2580,727,50
03/23/2020 12:00:00 AM,3572,1035,82
03/24/2020 12:00:00 AM,4506,1155,95
03/25/2020 12:00:00 AM,4865,1303,123
03/26/2020 12:00:00 AM,5052,1452,190
03/27/2020 12:00:00 AM,5132,1393,218
03/28/2020 12:00:00 AM,3478,1365,274
03/29/2020 12:00:00 AM,3561,1408,292
03/30/2020 12:00:00 AM,6135,1718,326
03/31/2020 12:00:00 AM,5472,1696,384
04/01/2020 12:00:00 AM,5464,1595,448
04/02/2020 12:00:00 AM,5770,1618,498
04/03/2020 12:00:00 AM,5676,1602,498
04/04/2020 12:00:00 AM,3868,1344,510
04/05/2020 12:00:00 AM,3795,1328,580
04/06/2020 12:00:00 AM,6377,1723,576
04/07/2020 12:00:00 AM,6065,1604,598
04/08/2020 12:00:00 AM,5589,1540,569
04/09/2020 12:00:00 AM,5073,1427,561
04/10/2020 12:00:00 AM,4517,1337,539
04/11/2020 12:00:00 AM,3732,1099,543
04/12/2020 12:00:00 AM,2890,995,573
04/13/2020 12:00:00 AM,3311,1213,571
04/14/2020 12:00:00 AM,4147,1088,511
04/15/2020 12:00:00 AM,3878,981,455
04/16/2020 12:00:00 AM,3530,882,414
04/17/2020 12:00:00 AM,3584,902,384
04/18/2020 12:00:00 AM,2173,665,391
04/19/2020 12:00:00 AM,2346,593,399
04/20/2020 12:00:00 AM,3793,725,364
04/21/2020 12:00:00 AM,3065,661,323
04/22/2020 12:00:00 AM,3462,599,312
04/23/2020 12:00:00 AM,2843,532,332
04/24/2020 12:00:00 AM,2538,550,316
04/25/2020 12:00:00 AM,1595,403,265
04/26/2020 12:00:00 AM,1003,375,246
04/27/2020 12:00:00 AM,2298,444,271
04/28/2020 12:00:00 AM,2731,445,228
04/29/2020 12:00:00 AM,2342,407,240
04/30/2020 12:00:00 AM,2024,345,223
05/01/2020 12:00:00 AM,1889,353,209
05/02/2020 12:00:00 AM,1060,261,192
05/03/2020 12:00:00 AM,785,256,178
05/04/2020 12:00:00 AM,1551,312,159
05/05/2020 12:00:00 AM,1513,283,151
05/06/2020 12:00:00 AM,1402,262,150
05/07/2020 12:00:00 AM,1235,259,142
05/08/2020 12:00:00 AM,1081,257,131
05/09/2020 12:00:00 AM,657,185,100
05/10/2020 12:00:00 AM,458,157,103
05/11/2020 12:00:00 AM,1233,247,103
